Date : 2024-06-07 14:59:29
Directory : c:\Users\Home\mycoffee_front\coffee
Total : 84 files,  27969 codes, 56 comments, 725 blanks, all 28750 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     21,368 |          0 |          3 |     21,371 |
| TypeScript JSX     |         37 |      4,424 |         42 |        485 |      4,951 |
| CSS                |         23 |      1,738 |          2 |        162 |      1,902 |
| JavaScript JSX     |          6 |        270 |          5 |         40 |        315 |
| XML                |          8 |         84 |          2 |          7 |         93 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         19 |          0 |          1 |         20 |
| TypeScript         |          3 |         14 |          5 |          5 |         24 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         84 |     27,969 |         56 |        725 |     28,750 |
| . (Files)                                                                           |          4 |     21,402 |          0 |         24 |     21,426 |
| .idea                                                                               |          4 |         33 |          0 |          0 |         33 |
| .idea (Files)                                                                       |          3 |         27 |          0 |          0 |         27 |
| .idea\inspectionProfiles                                                            |          1 |          6 |          0 |          0 |          6 |
| public                                                                              |          2 |         34 |          0 |          2 |         36 |
| src                                                                                 |         74 |      6,500 |         56 |        699 |      7,255 |
| src (Files)                                                                         |         10 |        284 |          8 |         43 |        335 |
| src\components                                                                      |         40 |      4,505 |         44 |        496 |      5,045 |
| src\components (Files)                                                              |         14 |      2,189 |         25 |        232 |      2,446 |
| src\components\errors                                                               |          3 |         45 |          0 |         13 |         58 |
| src\components\navigation                                                           |         23 |      2,271 |         19 |        251 |      2,541 |
| src\components\navigation (Files)                                                   |         21 |      2,185 |         19 |        235 |      2,439 |
| src\components\navigation\Bot                                                       |          2 |         86 |          0 |         16 |        102 |
| src\images                                                                          |          3 |         50 |          2 |          7 |         59 |
| src\styles                                                                          |         21 |      1,661 |          2 |        153 |      1,816 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Home\mycoffee_front\coffee\.idea\coffee.iml                                | XML                |         13 |          0 |          0 |         13 |
| c:\Users\Home\mycoffee_front\coffee\.idea\inspectionProfiles\Project_Default.xml    | XML                |          6 |          0 |          0 |          6 |
| c:\Users\Home\mycoffee_front\coffee\.idea\modules.xml                               | XML                |          8 |          0 |          0 |          8 |
| c:\Users\Home\mycoffee_front\coffee\.idea\vcs.xml                                   | XML                |          6 |          0 |          0 |          6 |
| c:\Users\Home\mycoffee_front\coffee\README.md                                       | Markdown           |         26 |          0 |         21 |         47 |
| c:\Users\Home\mycoffee_front\coffee\package-lock.json                               | JSON               |     21,276 |          0 |          1 |     21,277 |
| c:\Users\Home\mycoffee_front\coffee\package.json                                    | JSON               |         74 |          0 |          1 |         75 |
| c:\Users\Home\mycoffee_front\coffee\public\index.html                               | HTML               |         19 |          0 |          1 |         20 |
| c:\Users\Home\mycoffee_front\coffee\public\manifest.json                            | JSON               |         15 |          0 |          1 |         16 |
| c:\Users\Home\mycoffee_front\coffee\src\App.css                                     | CSS                |         65 |          0 |          7 |         72 |
| c:\Users\Home\mycoffee_front\coffee\src\App.test.tsx                                | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Home\mycoffee_front\coffee\src\App.tsx                                     | TypeScript JSX     |        158 |          0 |         24 |        182 |
| c:\Users\Home\mycoffee_front\coffee\src\components\AdminLogin.tsx                   | TypeScript JSX     |        105 |          1 |         20 |        126 |
| c:\Users\Home\mycoffee_front\coffee\src\components\AdminProfile.tsx                 | TypeScript JSX     |        553 |          6 |         54 |        613 |
| c:\Users\Home\mycoffee_front\coffee\src\components\City.tsx                         | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\Home\mycoffee_front\coffee\src\components\Contacts.tsx                     | TypeScript JSX     |         41 |          0 |          7 |         48 |
| c:\Users\Home\mycoffee_front\coffee\src\components\Futer.tsx                        | TypeScript JSX     |         58 |          0 |          4 |         62 |
| c:\Users\Home\mycoffee_front\coffee\src\components\Hader.tsx                        | TypeScript JSX     |        266 |          8 |         20 |        294 |
| c:\Users\Home\mycoffee_front\coffee\src\components\HamburgerMenu.tsx                | TypeScript JSX     |         96 |          0 |         11 |        107 |
| c:\Users\Home\mycoffee_front\coffee\src\components\KartKorz.tsx                     | TypeScript JSX     |        168 |          2 |         23 |        193 |
| c:\Users\Home\mycoffee_front\coffee\src\components\KartTovOpt.tsx                   | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\Home\mycoffee_front\coffee\src\components\KartTovar.tsx                    | TypeScript JSX     |        266 |          3 |         19 |        288 |
| c:\Users\Home\mycoffee_front\coffee\src\components\Katalog.tsx                      | TypeScript JSX     |        176 |          0 |         23 |        199 |
| c:\Users\Home\mycoffee_front\coffee\src\components\Modal.tsx                        | TypeScript JSX     |         37 |          0 |          9 |         46 |
